time_ma,T_global_mean_c,P_global_mean_mm_month,land_area_fraction,land_components,coastline_index,delta_from_prev_T_global_abs,delta_from_prev_T_field_meanabs,delta_from_prev_T_coherence_ratio,delta_from_prev_T_sign_agreement_frac,delta_from_prev_T_sign_edge_count,delta_from_prev_T_sign_components,delta_from_prev_T_morans_i,delta_from_prev_T_pc1_frac,delta_from_prev_T_effective_rank,delta_from_prev_T_participation_ratio,delta_from_prev_P_global_abs,delta_from_prev_landfrac_field_meanabs,delta_from_prev_coastline_abs,delta_from_prev_land_components_abs
280.0,15.250014888253235,85.18417321341961,0.23886763066485253,16,1984,2.741304306613566,3.175531200972779,0.8632585016874676,0.8929621061272531,1580.0,56.0,0.9867062943972842,0.7852165215496147,3.062660579422027,1.6083149391545801,4.360830827593844,0.07667402160350395,242.0,10.0
270.0,19.221504157138963,90.83564501846412,0.25564750271544295,3,1964,3.971489268885728,4.006418252022765,0.9912817432080631,0.9881939231373679,646.0,54.0,0.9754149262445485,0.8582277764751709,2.277626389903918,1.3537704655382723,5.651471805044508,0.06403206776725869,20.0,13.0
260.0,21.998784337814534,96.0419925722964,0.2568529239055474,7,2050,2.7772801806755716,2.8311950602411025,0.9809568474024748,0.9844258447539734,907.0,74.0,0.9458735390134081,0.8224054952606741,2.8304567735773585,1.474048631487468,5.206347553832273,0.0602441183701447,86.0,4.0
250.0,25.801094314513154,99.59220918525915,0.29749307526430174,1,1412,3.80230997669862,3.838593970920653,0.9905475821363491,0.9867686404213246,627.0,45.0,0.95859541198274,0.8093270150587715,2.6732665600782393,1.5145343412429746,3.550216612962757,0.09416307451326987,638.0,6.0
240.0,25.50574878369453,96.83608644642254,0.3519077922771493,4,1398,0.2953455308186257,1.267776124881109,0.23296347440390783,0.7230159829411129,2656.0,121.0,0.9421205617604663,0.3150791799746634,12.442729188372954,6.755746722947733,2.756122738836609,0.10289985532628734,14.0,3.0
230.0,25.05413544231791,96.83086117501207,0.3238761292044942,9,1632,0.4516133413766177,1.3019926737884708,0.34686319705819585,0.7376261490335825,2676.0,138.0,0.9634944882577421,0.29773014478025145,12.717297655960945,7.173797957005613,0.005225271410466803,0.09290865861050263,234.0,5.0
220.0,24.707601895644906,98.27628801840208,0.317035849864656,13,1854,0.3465335466730046,1.37055607561253,0.25284156762293114,0.6177825205709967,2705.0,105.0,0.9633004706527374,0.37491962769345033,11.130265358291725,5.379038512783792,1.4454268433900097,0.11040403080658545,222.0,4.0
210.0,24.16487652511932,95.97288926452137,0.336146752400108,10,1606,0.5427253705255879,1.2542590654517414,0.4327059580232069,0.7753068208504328,2621.0,143.0,0.9391138939976067,0.3364229469261958,14.209125662999812,6.610580231368458,2.303398753880714,0.068897613798153,248.0,3.0
200.0,22.926655292261053,91.72987957619927,0.3439500152060526,16,1594,1.2382212328582654,1.6088574467878942,0.7696276853678932,0.8753584417536904,2572.0,121.0,0.9555324532894172,0.5733063123885657,7.7587854744037905,2.933966733824611,4.243009688322104,0.05934078723308055,12.0,6.0
190.0,20.266670171687267,92.48830348698132,0.32373031361878035,14,1864,2.6599851205737863,2.709818972646642,0.9816098962418203,0.9808514773896204,933.0,70.0,0.9525449820429399,0.740909267347269,3.82057739797689,1.80152094372295,0.7584239107820565,0.05922936848674773,270.0,2.0
180.0,19.826544490448693,90.58550415919848,0.3411421160388712,12,1826,0.4401256812385732,1.035209004219612,0.42515634953384135,0.7132842325302841,2836.0,153.0,0.9298627952920507,0.22990744203908764,18.522019847771613,9.960199036327367,1.9027993277828443,0.06133044092815185,38.0,2.0
170.0,19.102581903742944,94.84877318380823,0.2957735636457824,18,2400,0.7239625867057491,1.2779357895942278,0.5665093603299293,0.7745435616166662,2889.0,148.0,0.9333498423137879,0.2830181999221232,15.24350556569736,7.722042968178264,4.263269024609755,0.07579450851086189,574.0,6.0
160.0,19.3778296521606,93.88885722529274,0.2808057426599434,18,2548,0.2752477484176552,0.9488096106323916,0.2900979768050618,0.5704723562163285,3124.0,166.0,0.9075494348489277,0.22845959004667482,21.923120379827182,11.357859850797157,0.959915958515495,0.07187834804510827,148.0,0.0
150.0,19.84822795996717,93.88672676731511,0.3065295899885603,14,2862,0.470398307806569,1.3103236453962153,0.35899398553884,0.7501092501571327,2776.0,155.0,0.9482605847598758,0.3397039949203623,15.277069218661682,6.840166614455144,0.0021304579776284527,0.08802307952378836,314.0,4.0
140.0,20.578502437895523,94.62186159787709,0.3227570934600058,11,2526,0.7302744779283543,1.4421170826980996,0.506390560579216,0.8642297665054153,2527.0,157.0,0.9616089722763401,0.42778227281561026,10.087792504213548,4.484571072078259,0.7351348305619751,0.07703580475194104,336.0,3.0
130.0,21.25755572221756,98.03945613027034,0.2962379458363199,15,2758,0.6790532843220376,1.9399079107681447,0.35004408227458234,0.5386494073370542,2460.0,124.0,0.9748218296790021,0.6199991502213069,5.5091272762890995,2.464706545064479,3.4175945323932524,0.060349166274771396,232.0,4.0
120.0,22.309263457641276,100.97515120199138,0.2719061544210584,19,2766,1.0517077354237152,1.8921474945450436,0.5558275654808784,0.6959010931187928,2695.0,137.0,0.9699937351143806,0.6758575534117722,5.0493291930251125,2.145940188576381,2.9356950717210424,0.06790568532914103,8.0,4.0
110.0,23.041680549374963,102.90600794582843,0.2687925423256741,12,2714,0.7324170917336872,1.3105455753465376,0.5588642665403069,0.8514942521880174,3477.0,149.0,0.9353133806628566,0.2994720179947545,17.35907045196482,8.099801111613148,1.9308567438370545,0.09769682994229985,52.0,7.0
100.0,23.825060056209242,104.90699947646203,0.25935871551495776,21,2848,0.7833795068342795,1.5370274432012594,0.5096717760632093,0.8067088260914798,2991.0,138.0,0.9527932766539295,0.3553020585659895,14.780359014408889,6.413111700439129,2.0009915306335984,0.10100020714080103,134.0,9.0
90.0,24.189692744124386,106.32684160180325,0.2366433661059374,19,2894,0.3646326879151438,1.5482641676172495,0.23551064187987178,0.5133563555894123,2945.0,143.0,0.9547059514615777,0.4265143811881501,12.108881649578002,4.805505688245903,1.4198421253412192,0.08790736845786541,46.0,2.0
80.0,24.284149248880098,107.000915952296,0.2104564942531071,27,3244,0.09445650475571199,0.949079075711603,0.09952437807660036,0.43546353808599597,3685.0,192.0,0.9297436585573579,0.2559009232457129,19.53159840945097,9.581671661575948,0.6740743504927451,0.10279288132671291,350.0,8.0
70.0,23.402821565568598,100.67296632349627,0.28627157082230714,20,2956,0.8813276833115005,1.6088020303023818,0.54781611827395,0.7636031625497128,2900.0,154.0,0.960354277283778,0.5297924000414894,8.773262973727615,3.3639023978496043,6.327949628799729,0.12448346624130464,288.0,7.0
60.0,22.336068130919468,99.51075007130241,0.2821807143074838,14,2746,1.0667534346491294,1.2985642595497546,0.8214868280904328,0.8940830482806034,3061.0,187.0,0.8852202392063897,0.44863526434459844,13.162582396211818,4.579827423140693,1.1622162521938577,0.07654793485909533,210.0,6.0
50.0,22.64853675948551,100.9514340234142,0.2825530714568575,9,2688,0.31246862856604096,1.0367622175485502,0.30138890410655655,0.749861421175592,3979.0,174.0,0.9057891294427799,0.1534516828067569,23.58420628445983,13.727798433281537,1.4406839521117831,0.08847162570234818,58.0,5.0
40.0,20.15419476018603,95.68494285458048,0.2974151980781531,11,2630,2.494341999299479,2.8368327931731514,0.8792700103094275,0.8906949386111747,2308.0,122.0,0.9743986079421286,0.7752741161284005,3.360281745351049,1.65169179028253,5.26649116883371,0.08350038308254243,58.0,2.0
30.0,16.061092576813532,87.01640555578113,0.30080369837124316,12,2624,4.093102183372498,4.192570246544959,0.9762751588349816,0.9836287608934173,705.0,65.0,0.9675000842916002,0.7848842521161475,2.8944308029416193,1.6024487725980883,8.66853729879935,0.05894587708928826,6.0,1.0
20.0,15.592857605225909,86.3954090629485,0.2979865913745916,12,2510,0.4682349715876235,1.4430520724225309,0.32447545070329425,0.5259868840395935,3253.0,169.0,0.9354952399503934,0.3221957698714177,12.961428012829572,6.188505638086835,0.6209964928326315,0.05395877177814969,114.0,0.0
10.0,15.60989154355007,86.12714332760154,0.29788943683429125,11,2448,0.017033938324161113,1.122858842646581,0.015170151115354873,0.4305238670207846,3612.0,203.0,0.9289267443387932,0.3101228727226143,14.787397441035601,7.0145159441936595,0.26826573534695797,0.04766157177597389,62.0,1.0
0.0,14.267033630028315,87.34185618677378,0.29173912869967616,55,3476,1.3428579135217547,4.145459713087292,0.3239346191888749,0.6752863234538677,2207.0,127.0,0.9839820323686085,0.7749512071226214,3.1371966894763426,1.647537901654143,1.2147128591722378,0.07240743583740507,1028.0,44.0
